"station","arrondissement","lat","long","dur","mm","jj","temp","precip"
"St-Denis / Ste-Catherine","Ville-Marie",45.5137229122146,-73.5603104531765,7.9168,8,4,16.9,0.6
"Peel / Ottawa","Le Sud-Ouest",45.4941995535705,-73.5599845647812,5.51861666666667,9,5,20.4,0
"Guy / Sainte-Catherine","Ville-Marie",45.4949751285313,-73.5777704324846,7.67678333333333,6,5,21.5,0
"St-Dominique / Laurier","Le Plateau-Mont-Royal",45.5236149031145,-73.5924573987722,6.15025,8,7,20.4,0.9
"St-Jacques / St-Laurent","Ville-Marie",45.5064446492057,-73.5564869642258,17.44975,8,5,24.5,0
"des Pins / Hutchison","Le Plateau-Mont-Royal",45.5108002894856,-73.5782209038734,21.8778333333333,10,2,16.4,3.1
"Clark / Prince-Arthur","Le Plateau-Mont-Royal",45.5133425123071,-73.57301607728,12.1763333333333,10,3,6.7,3
"Beurling / Godin","Verdun",45.4479158121584,-73.5838186740875,29.5532,7,2,25.9,0
"Boyer / du Mont-Royal","Le Plateau-Mont-Royal",45.5274321263806,-73.5799167305231,8.9785,5,6,14.5,0.6
"Aylmer / Ste-Catherine","Ville-Marie",45.5043467868509,-73.568948507309,14.3107666666667,9,5,20.1,0
"St-Hubert / de Maisonneuve (sud)","Ville-Marie",45.5158683512632,-73.5600838065147,17.4943,6,4,15,1.6
"de Chambly / Rachel","Rosemont - La Petite-Patrie",45.549910693591,-73.5582625865936,28.6176833333333,8,7,23.5,0.4
"Peel / Ottawa","Le Sud-Ouest",45.4941995535705,-73.5599845647812,6.86338333333333,6,4,27.2,1.3
"St-Hubert / Duluth","Le Plateau-Mont-Royal",45.5224256527886,-73.574184179306,2.12086666666667,7,2,25.9,0
"Maguire / St-Laurent","Le Plateau-Mont-Royal",45.5246284855926,-73.5958108305931,5.98791666666667,5,5,12.4,1.6
"St-Hubert / de Maisonneuve (sud)","Ville-Marie",45.5158683512632,-73.5600838065147,27.4300333333333,6,6,21,0
"Aylmer / Sherbrooke","Le Plateau-Mont-Royal",45.506294568237,-73.5728269815445,16.6380333333333,9,3,19.8,0
"Parc St-Patrick (St-Patrick / St-Columban)","Le Sud-Ouest",45.4887078515095,-73.5589931719369,35.7486166666667,7,1,20.9,0.4
"de Bordeaux / Sherbrooke","Ville-Marie",45.5299143217374,-73.5630261898041,9.75546666666667,8,3,18.1,0.2
"Laval / Duluth","Le Plateau-Mont-Royal",45.5191926178386,-73.5771592613492,72.5737666666667,5,6,12.8,0.5
"Fullum / Ontario","Ville-Marie",45.5303174,-73.5548669,17.6720833333333,10,3,16.4,0
"de Gaspé / Jarry","Villeray—Saint-Michel—Parc-Extension",45.540780049798,-73.6304005980492,26.4378833333333,6,2,22.4,0.2
"University / des Pins","Ville-Marie",45.5080252590098,-73.5798848979539,12.6763833333333,9,6,16.4,0
"André-Laurendeau / Rachel","Rosemont - La Petite-Patrie",45.5430318724388,-73.5625648498535,46.9450333333333,10,2,9.4,2
"University / des Pins","Ville-Marie",45.5080252590098,-73.5798848979539,4.11488333333333,10,3,6.7,3
"Sherbrooke / Jeanne-d'Arc","Rosemont - La Petite-Patrie",45.5539815605889,-73.554963881561,4.90395,6,1,15.2,2.2
"St-Dominique / Laurier","Le Plateau-Mont-Royal",45.5236149031145,-73.5924573987722,5.99336666666667,10,2,17,0
"Chomedey / de Maisonneuve","Ville-Marie",45.491750449904,-73.5839447379112,11.6836,10,6,7.2,0
